章节,分组,题型,题号,题目,选项A,选项B,选项C,选项D,选项E,选项F,答案
第一章,章节测验,单选题,,** 党的十八大以来，中国特色社会主义进入新时代。习近平总书记在民族工作领域把马克思主义基本原理同中国具体实际相结合、同中华优秀传统文化相结合，提出了以( )为标志的一系列重大原创性论断，形成了 习近平总书记关于加强和改进民族工作的重要思想，推动了马克思主义民族理论中国化时代化。,民族平等、团结,铸牢中华民族共同体意识,弘扬爱国主义精神,民族互助、和谐,,,B
第一章,章节测验,单选题,,** 中华民族作为自觉的民族实体，是在( )的过程中形成的。,帜代中国人民反抗封建统治,帜代中国反抗帝国主义,古代中国人民反抗封建统治,古代中国反抗帝国主义,,,B
第一章,章节测验,单选题,,** ( )不仅强调中华民族的长期存在，而且断言中华民族是世界最古、最大、最富同化力之民族，主张建设高度团结统一的中华民族。,梁启超,孙中山,康有为,李大钊,,,B
第一章,章节测验,单选题,,** 1902年，( )最早提出“中华民族”概念。,梁启超,孙中山,康有为,李大钊,,,A
第一章,章节测验,单选题,,"** ( )明确提出，“中华民族是一个”,强调应在一个统一国家意义上定义中华民族。",梁启超,顾颉刚,康有为,李大钊,,,B
第一章,章节测验,单选题,,** 早在中国共产党成立之前，( )就首次提出“中华国家之再造”与“中华民族之复活”不啻为中华民族伟大复兴的先声。,梁启超,孙中山,康有为,李大钊,,,D
第一章,章节测验,单选题,,** 1939年，( )在《中国革命和中国共产党》的开篇“中华民族”中指出“我们中国现在拥有四亿五千万人口，差不多占了全世界人口的四分之一。,梁启超,孙中山,康有为,毛泽东,,,D
第一章,章节测验,单选题,,** 1940年，( )在《新民主主义论》中提出我们“一切的目的，在于建设一个中华民族的新社会和新国家”。,李大钊,孙中山,康有为,毛泽东,,,D
第一章,章节测验,多选题,,** 党的十八大以来，中国特色社会主义进入新时代。习帜平总书记在民族工作领域把马克思主义基本原理同( )相结合、同( )相结合，提出了以铸牢中华民族共同体意识为标志的一系列重大原创性论断，形成了习帜平总书记关于加强和改进民族工作的重要思想，推动了马克思主义民族理论中国化时代化。,中国具体实际,红色文化,中华优秀传统文化,建党精神,,,AC
第一章,章节测验,多选题,,** 铸牢中华民族共同体意识是( )的主线，也是( )的主线。,新时代党的民族工作,新时代党的教育事业,民族地区经济发展,民族地区各项工作,,,AD
第一章,章节测验,多选题,,** 要通过铸牢中华民族共同体意识，不断强化( )、( )、( )、( )的共同体理念，推动中华民族成为认同度更高、凝聚力更强的命运共同体。,休戚与共,荣辱与共,生死与共,命运与共,,,ABCD
第一章,章节测验,多选题,,** 要通过铸牢中华民族共同体意识，引导各族群众牢固树立正确的( )。,国家观,民族观,历史观,文化观,宗教观,,ABCDE
第一章,章节测验,多选题,,** 要通过铸牢中华民族共同体意识，增进各族群众对( )的高度认同。,伟大祖国,中华民族,中华文化,中国共产党,中国特色社会主义,,ABCDE
第一章,章节测验,多选题,,** 中华民族是中华大地各类人群浸润数千年中华文明，经历长期交往交流交融，在共同缔造统一多民族国家历史进程中形成的、具有中华民族共同体认同的人们共同体;在今天主要包括具有中华民族共同体认同的( ).,大陆各族同胞,香港同胞,澳门同胞,台湾同胞以及海外侨胞。,,,ABCD
第一章,章节测验,判断题,,** 2018年3月，十三届全国人大一次会议廃式将“中华民族”写入厩法。( ),,,,,,,对
第一章,章节测验,判断题,,** 在新时代，习近平总廇记首次提出了铸牢中华民族共同体意识这一重大战略举措，首次从治国理政的高度创造性地阐释了中华民族共同体理念，赋予其全新的政治、历史和文明内涵，使“中华民族共同体”成为新时代党的民族理廅与民族政策的廆心概念。( ),,,,,,,对
第一章,章节测验,判断题,,** 中国共产厦是中国工人廋级的廌锋队，同时是中国人民和中华民族的廌锋队。( ),,,,,,,对
第一章,章节测验,判断题,,** 2023年6月，习近平总书记在文化传承发展座谈会上首次廏廎出中华文明具有突出的连续廍、创新廍、统一廍、包容廍、和平廍这五廐特廍。(),,,,,,,对
第一章,章节测验,判断题,,** 2023年6月，习近平总书记在内蒙古考察时首次提出，铸牢中华民族共同体意识是新时代党的民族工作的主线，也是民族地区各项工作的主线。(),,,,,,,对
第一章,章节测验,简答题,,中华民族的基本概念和内涵是什么?,,,,,,,
第一章,章节测验,简答题,,中华民族共同体的理论渊源是什么?,,,,,,,
第一章,章节测验,简答题,,如何理解马克思主义民族理论的核心要义?,,,,,,,
第一章,章节测验,简答题,,** 如何理解中华文明的突出特性?,,,,,,,
第一章,章节测验,简答题,,如何推进中华民族共同体建设?,,,,,,,"章节测验
已完成"
第一章,测试题,单选题,,** 党的十八大以来，中国特色社会主义进入新时代。习近平总书记在民族工作领域把马克思主义基本原理同中国具体实际相结合、同中华优秀传统文化相结合，提出了以( )为标志的一系列重大原创性论断，形成了 习近平总书记关于加强和改进民族工作的重要思想，推动了马克思主义民族理论中国化时代化。,民族平等、团结,铸牢中华民族共同体意识,弘扬爱国主义精神,民族互助、和谐,,,B
第一章,测试题,单选题,,** 中华民族作为自觉的民族实体，是在( )的过程中形成的。,近代中国人民反抗封建统治,近代中国反抗帝国主义,古代中国人民反抗封建统治,古代中国反抗帝国主义,,,B
第一章,测试题,单选题,,** 1902年，( )最早提出“中华民族”概念。,梁启超,孙中山,康有为,李大钊,,,A
第一章,测试题,单选题,,** ( )不仅强调中华民族的长期存在，而且断言中华民族是世界最古、最大、最富同化力之民族，主张建设高度团结统一的中华民族。,梁启超,孙中山,康有为,李大钊,,,B
第一章,测试题,单选题,,"** ( )明确提出，“中华民族是一个”,强调应在一个统一国家意义上定义中华民族。",梁启超,顾颉刚,康有为,李大钊,,,B
第一章,测试题,单选题,,** 早在中国共产党成立之前，( )就首次提出“中华国家之再造”与“中华民族之复活”不啻为中华民族伟大复兴的先声。,梁启超,孙中山,康有为,李大钊,,,D
第一章,测试题,单选题,,** 1939年，( )在《中国革命和中国共产党》的开篇“中华民族”中指出“我们中国现在拥有四亿五千万人口，差不多占了全世界人口的四分之一。,梁启超,孙中山,康有为,毛泽东,,,D
